State,Fraction,RepNum,Motif
111111000000000,0.1803063493151596,1,EMT22N
000000111110000,0.16068043066112397,1,EMT22N
000000111110100,0.14528622921869772,1,EMT22N
000000111110010,0.09765894773890632,1,EMT22N
000000111110110,0.08467117736072217,1,EMT22N
000000101010000,0.045043846770092724,1,EMT22N
000000111100000,0.026530083969301635,1,EMT22N
000000111010000,0.023017635906570723,1,EMT22N
000000101110000,0.022976710208199257,1,EMT22N
000000101010100,0.022405796715917334,1,EMT22N
000000111100100,0.022094761408294205,1,EMT22N
000000111110111,0.01664448152767447,1,EMT22N
000000101110100,0.016050035758828952,1,EMT22N
000000111010100,0.015777879864658714,1,EMT22N
000000111110101,0.01012194834972237,1,EMT22N
000000111100110,0.0067629716558844505,1,EMT22N
000000101000000,0.00671488396029798,1,EMT22N
000000111100010,0.0063649692392219615,1,EMT22N
000000111110011,0.0057797317525100245,1,EMT22N
000000100010000,0.004800584418972745,1,EMT22N
000000100110000,0.004745334726171268,1,EMT22N
000000101110010,0.004535590522017514,1,EMT22N
000000111010110,0.0041324723930585925,1,EMT22N
000000111010010,0.003914543049230545,1,EMT22N
000000110110000,0.0038899876302076674,1,EMT22N
000000111110001,0.003495054640923038,1,EMT22N
100000111100100,0.003096029081801263,1,EMT22N
000000101110110,0.0030479413862147925,1,EMT22N
000000101100000,0.002777831776963129,1,EMT22N
000000111000000,0.00275941521269597,1,EMT22N
000000101010010,0.002718489514324506,1,EMT22N
000000101010110,0.0026427769723372974,1,EMT22N
000000101000100,0.0020872106169446715,1,EMT22N
111111100000000,0.0019562483821559864,1,EMT22N
100000111100000,0.001908160686569516,1,EMT22N
000000111000100,0.0016697684935557372,1,EMT22N
000000101100100,0.001644189932073572,1,EMT22N
010000100010000,0.0014416077251348245,1,EMT22N
000000111010101,0.001249256942788943,1,EMT22N
000000100000000,0.0011223872778374042,1,EMT22N
100110001000000,0.001071230154873074,1,EMT22N
000000110110100,0.0009453836323808218,1,EMT22N
010000100000000,0.0008011205456214107,1,EMT22N
100000111110000,0.0007448477103606475,1,EMT22N
000000111100111,0.0007428014254420743,1,EMT22N
000000111100101,0.0007131302941227628,1,EMT22N
000000001000000,0.0006793665929663049,1,EMT22N
000000110110010,0.000671181453292012,1,EMT22N
000000100100000,0.0006261631850834014,1,EMT22N
100000101000000,0.0005790986319562177,1,EMT22N
000000110010000,0.0005514737855554794,1,EMT22N
100000101100000,0.0005351035062068938,1,EMT22N
111000100000000,0.0005105480871840152,1,EMT22N
000000101010101,0.0004921315229168563,1,EMT22N
000000111100011,0.00046655296143469126,1,EMT22N
000000110110110,0.00045632153684182526,1,EMT22N
000000100010100,0.00042460412060394055,1,EMT22N
100000111110100,0.00042051155076679414,1,EMT22N
000000111111100,0.0004072106987960683,1,EMT22N
000000111010001,0.0003877709920696228,1,EMT22N
100000101110000,0.00037856270993604337,1,EMT22N
000000111111110,0.00035503043337245147,1,EMT22N
000000110100000,0.00034275272386101224,1,EMT22N
100000100100000,0.0003069427377859811,1,EMT22N
000000101110111,0.0003059195953266945,1,EMT22N
000000111000110,0.0003048964528674079,1,EMT22N
000000011100000,0.00029978074057097486,1,EMT22N
100000111100010,0.00029978074057097486,1,EMT22N
000000101110101,0.0002977344556524017,1,EMT22N
000000111000010,0.0002977344556524017,1,EMT22N
000000011000000,0.00029364188581525527,1,EMT22N
100000100000000,0.00027317903662952317,1,EMT22N
101000100000000,0.00026806332433309014,1,EMT22N
100000001000000,0.00023839219301377866,1,EMT22N
010000101010000,0.00022611448350233943,1,EMT22N
000000101100010,0.00020872106169446714,1,EMT22N
100000111110010,0.00020462849185732073,1,EMT22N
000000111111000,0.00020462849185732073,1,EMT22N
000000111111010,0.00020360534939803415,1,EMT22N
100110000000000,0.00020360534939803415,1,EMT22N
100000111000000,0.00020258220693874753,1,EMT22N
100110011000000,0.00019644335218302791,1,EMT22N
000000101110001,0.0001913276398865949,1,EMT22N
000000101110011,0.00018621192759016186,1,EMT22N
000000110100010,0.00017598050299729584,1,EMT22N
101000001000000,0.000167795363323003,1,EMT22N
000000100110010,0.0001647259359451432,1,EMT22N
000000101010111,0.00016165650856728338,1,EMT22N
000000001000100,0.0001606333661079968,1,EMT22N
100000101010100,0.00015961022364871017,1,EMT22N
010000000000000,0.00015347136889299056,1,EMT22N
101110100000000,0.00014835565659655753,1,EMT22N
100000111110111,0.00014733251413727094,1,EMT22N
100000101010000,0.00014630937167798433,1,EMT22N
000100001000000,0.0001401705169222647,1,EMT22N
111000000000000,0.0001391473744629781,1,EMT22N
100000110000000,0.0001360779470851183,1,EMT22N
010000100110000,0.00013096223478868528,1,EMT22N
000000111100001,0.00012584652249225225,1,EMT22N
111000100010000,0.00012073081019581924,1,EMT22N
101111000000000,0.0001125456705215264,1,EMT22N
000000101100110,0.0001125456705215264,1,EMT22N
100000011100000,0.0001094762431436666,1,EMT22N
100000110100000,0.00010538367330652017,1,EMT22N
000000011100010,0.00010436053084723357,1,EMT22N
000000110010100,0.00010231424592866037,1,EMT22N
000000111010111,0.00010231424592866037,1,EMT22N
100000111010110,0.00010231424592866037,1,EMT22N
000000111101110,0.00010231424592866037,1,EMT22N
100000101110100,0.00010231424592866037,1,EMT22N
000000111010011,0.00010231424592866037,1,EMT22N
000000110110111,0.00010231424592866037,1,EMT22N
100000111010000,0.00010231424592866037,1,EMT22N
000000101111100,0.00010231424592866037,1,EMT22N
000000110010011,0.00010231424592866037,1,EMT22N
000010011100000,0.00010231424592866037,1,EMT22N
000000101010001,0.00010129110346937376,1,EMT22N
000000011100100,0.00010129110346937376,1,EMT22N
000000100110110,0.00010129110346937376,1,EMT22N
000000001100100,0.00010129110346937376,1,EMT22N
010000111110100,0.00010026796101008716,1,EMT22N
000000101101000,0.00010026796101008716,1,EMT22N
000000101000101,9.924481855080056e-05,1,EMT22N
000100111100100,9.822167609151396e-05,1,EMT22N
100000111000100,9.617539117294075e-05,1,EMT22N
000000111000101,9.412910625436753e-05,1,EMT22N
100110111100000,9.208282133579433e-05,1,EMT22N
100000111010100,9.003653641722112e-05,1,EMT22N
000000110110101,8.492082412078811e-05,1,EMT22N
000000001100000,8.492082412078811e-05,1,EMT22N
010000110000000,7.878196936506848e-05,1,EMT22N
110000101000000,7.775882690578188e-05,1,EMT22N
000000000100000,7.775882690578188e-05,1,EMT22N
100000101000100,7.468939952792207e-05,1,EMT22N
000000111111101,7.264311460934886e-05,1,EMT22N
000000100100010,6.855054477220245e-05,1,EMT22N
100110010000000,6.855054477220245e-05,1,EMT22N
100000001000100,6.343483247576943e-05,1,EMT22N
100000100010000,6.343483247576943e-05,1,EMT22N
000010001000000,5.62728352607632e-05,1,EMT22N
000010101000000,5.422655034219e-05,1,EMT22N
000000101100101,5.2180265423616786e-05,1,EMT22N
000000100010110,4.706455312718377e-05,1,EMT22N
000000101100001,4.6041410667897165e-05,1,EMT22N
101110001000000,4.0925698371464146e-05,1,EMT22N
000000100010001,3.785627099360434e-05,1,EMT22N
100000000000000,3.785627099360434e-05,1,EMT22N
000100101000000,3.785627099360434e-05,1,EMT22N
100010001000000,3.274055869717132e-05,1,EMT22N
101000110000000,3.274055869717132e-05,1,EMT22N
100110001100000,3.069427377859811e-05,1,EMT22N
100110101000000,3.069427377859811e-05,1,EMT22N
100000101100100,3.069427377859811e-05,1,EMT22N
100110011100000,3.069427377859811e-05,1,EMT22N
001000100010000,2.8647988860024903e-05,1,EMT22N
100000100000100,2.6601703941451694e-05,1,EMT22N
001000100100000,2.5578561482165092e-05,1,EMT22N
010000111010000,2.455541902287849e-05,1,EMT22N
101110000000000,1.943970672644547e-05,1,EMT22N
000010011100100,1.7393421807872262e-05,1,EMT22N
010000100100000,1.637027934858566e-05,1,EMT22N
000000100110100,1.4323994430012451e-05,1,EMT22N
010000101000000,1.4323994430012451e-05,1,EMT22N
000001110100000,1.3300851970725847e-05,1,EMT22N
100111000000000,1.3300851970725847e-05,1,EMT22N
110000110100000,1.2277709511439245e-05,1,EMT22N
000000110100100,1.0231424592866036e-05,1,EMT22N
000000101111000,9.208282133579434e-06,1,EMT22N
101000100010000,8.18513967429283e-06,1,EMT22N
010000110010000,8.18513967429283e-06,1,EMT22N
100000111110110,7.161997215006226e-06,1,EMT22N
000000100010010,6.138854755719622e-06,1,EMT22N
101010110100000,5.115712296433018e-06,1,EMT22N
100111001000000,5.115712296433018e-06,1,EMT22N
101000100100000,5.115712296433018e-06,1,EMT22N
000000010100000,4.092569837146415e-06,1,EMT22N
010000110110000,3.069427377859811e-06,1,EMT22N
100000001100000,3.069427377859811e-06,1,EMT22N
000100101100100,2.0462849185732074e-06,1,EMT22N
000100111100000,2.0462849185732074e-06,1,EMT22N
100000011000100,2.0462849185732074e-06,1,EMT22N
100110001000100,2.0462849185732074e-06,1,EMT22N
100000000000100,2.0462849185732074e-06,1,EMT22N
100110010000100,2.0462849185732074e-06,1,EMT22N
100111100000000,1.0231424592866037e-06,1,EMT22N
100000000100000,1.0231424592866037e-06,1,EMT22N
000000110010010,1.0231424592866037e-06,1,EMT22N
000001100100000,1.0231424592866037e-06,1,EMT22N
000000000000000,1.0231424592866037e-06,1,EMT22N
000010100000000,1.0231424592866037e-06,1,EMT22N
100110011100100,1.0231424592866037e-06,1,EMT22N
100000100010100,1.0231424592866037e-06,1,EMT22N
111111000000000,0.25433021514289095,2,EMT22N
000000111110000,0.15742608418705875,2,EMT22N
000000111110100,0.12569669303041564,2,EMT22N
000000111110010,0.08847440048671537,2,EMT22N
000000111110110,0.06720306075367384,2,EMT22N
000000101010000,0.04657175989253064,2,EMT22N
000000111100000,0.023378261952496253,2,EMT22N
000000111010000,0.02191954497013152,2,EMT22N
000000101110000,0.02152449705398376,2,EMT22N
000000111100100,0.02097428819919398,2,EMT22N
000000101010100,0.01998105403275529,2,EMT22N
000000111010100,0.015092463669882853,2,EMT22N
000000101110100,0.012286296430890093,2,EMT22N
000000111110111,0.011804480884580677,2,EMT22N
000000111100010,0.006978159056294839,2,EMT22N
000000111110101,0.006904661769569673,2,EMT22N
000000101000000,0.006571882388008509,2,EMT22N
000000101110010,0.005518421278281144,2,EMT22N
000000111100110,0.005176454735879334,2,EMT22N
000000111010010,0.004768136476295083,2,EMT22N
000000100010000,0.004690556006974076,2,EMT22N
000000111110011,0.004416982773052628,2,EMT22N
100110001000000,0.0034860171412005375,2,EMT22N
000000101100000,0.0033767920067617504,2,EMT22N
000000101110110,0.003361480072027341,2,EMT22N
111111100000000,0.0032052983377363654,2,EMT22N
000000111110001,0.0028224999693761306,2,EMT22N
000000100110000,0.0026979629002029343,2,EMT22N
000000110110000,0.002594862539657911,2,EMT22N
000000111000000,0.00256117628324221,2,EMT22N
000000101010110,0.0024315352358242107,2,EMT22N
000000101010010,0.002368245905588652,2,EMT22N
000000101100100,0.002311081349246857,2,EMT22N
000000111010110,0.002294748618863487,2,EMT22N
000000101000100,0.0020558824370067006,2,EMT22N
100000111100000,0.0019731979894408898,2,EMT22N
000000001000000,0.001808849889958229,2,EMT22N
010000100010000,0.001634293833985962,2,EMT22N
000000111000100,0.00150056960397212,2,EMT22N
100000111100100,0.0011800397701984835,2,EMT22N
000000100000000,0.0010871473661430665,2,EMT22N
000000110110100,0.0010524403140784052,2,EMT22N
010000100000000,0.0009697558665125946,2,EMT22N
100000101000000,0.0008258236800091464,2,EMT22N
000000110010000,0.0007033282021338712,2,EMT22N
100000111110000,0.0006941410412932256,2,EMT22N
000000110110010,0.0006880162673994618,2,EMT22N
000000111100111,0.0006737251283140131,2,EMT22N
000000111111100,0.0006614755805264855,2,EMT22N
000000100100000,0.0006461636457920762,2,EMT22N
000000110100000,0.0006206437545680605,2,EMT22N
100000100000000,0.0005992070459398873,2,EMT22N
111000100000000,0.0005287721461616042,2,EMT22N
000000101010101,0.000523668167916801,2,EMT22N
000000101010111,0.0005052938462355098,2,EMT22N
000000111100101,0.00047875315936253353,2,EMT22N
000000101000010,0.00044608769859579353,2,EMT22N
100000100100000,0.0004083182595842503,2,EMT22N
100000001000000,0.0003950479161477622,2,EMT22N
100110011000000,0.0003868815509560772,2,EMT22N
000000101110101,0.00038586075530711657,2,EMT22N
000000011100000,0.0003807567770623135,2,EMT22N
100000111110100,0.0003501329075934947,2,EMT22N
000000111010101,0.0003501329075934947,2,EMT22N
100000101100000,0.0003419665424018097,2,EMT22N
101000100000000,0.00033992495110388843,2,EMT22N
100110000000000,0.00033788335980596717,2,EMT22N
100000111000000,0.0003041971033902665,2,EMT22N
000000111111110,0.00028990596430481777,2,EMT22N
000000110010100,0.00028173959911313273,2,EMT22N
000000111100011,0.00027867721216625084,2,EMT22N
000000000000000,0.00024703254704847147,2,EMT22N
100111000000000,0.0002296790210161408,2,EMT22N
000000111000010,0.00022457504277133768,2,EMT22N
000000110110110,0.00021130469933484955,2,EMT22N
100110011100000,0.00020415912979212516,2,EMT22N
000000110110001,0.0001970135602494008,2,EMT22N
000000101110011,0.00019395117330251892,2,EMT22N
000000111111000,0.00019395117330251892,2,EMT22N
000000111100001,0.00018782639940875516,2,EMT22N
100000110100000,0.00018272242116395204,2,EMT22N
100000111000100,0.0001817016255149914,2,EMT22N
000000101110111,0.00017966003421707015,2,EMT22N
000000101010001,0.0001735352603233064,2,EMT22N
111000100010000,0.00017251446467434576,2,EMT22N
010000101010000,0.000166389690780582,2,EMT22N
000000100010100,0.00015924412123785763,2,EMT22N
101110000000000,0.0001378074126096845,2,EMT22N
100000110000000,0.00013678661696072387,2,EMT22N
000000011000000,0.00013576582131176324,2,EMT22N
000000101100010,0.0001296410474179995,2,EMT22N
101000110100000,0.0001296410474179995,2,EMT22N
100110010100000,0.0001265786604711176,2,EMT22N
010000000000000,0.000125557864822157,2,EMT22N
101111000000000,0.0001184122952794326,2,EMT22N
000010111100000,0.0001184122952794326,2,EMT22N
